CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,WHEELBASE,OAL,MAXWIDTH,CURBWT,TRACKWIDTH,OVERHANG_FRT,OVERHANG_REAR,UEW,ENG_CYL,ENG_DISP,TRANSMISSION,DRVWHEELS,ALTVEH,SUSPMODS,WEIGHTDIST,CASEWGT,PSUSTRAT,VERSION
31180,16,88,1-16-2023-088-03,3,1,262,444,181,1495,155,86,95,148,4,2.5,2,1,0,0,59,151.9432757,5,8
31180,16,88,1-16-2023-088-03,3,2,285,471,183,1585,159,80,106,150,4,2.0,2,1,0,0,52,151.9432757,5,8
31183,20,82,1-20-2023-082-05,5,1,267,456,175,1284,151,93,96,140,4,1.8,2,1,9,0,61,30.61617033,11,8
31183,20,82,1-20-2023-082-05,5,2,264,441,181,1391,156,91,87,999,3,1.3,2,1,9,0,99,30.61617033,11,8
31189,15,157,1-15-2023-157-03,3,1,280,467,181,1625,155,84,104,999,6,3.5,2,2,9,0,55,55.74491687,1,8
31189,15,157,1-15-2023-157-03,3,2,273,465,184,1593,158,95,98,999,4,1.5,2,4,0,0,58,55.74491687,1,8
31192,26,90,1-26-2023-090-03,3,1,300,518,201,2395,168,96,123,999,8,4.7,9,3,9,0,52,474.1494166,10,8
31192,26,90,1-26-2023-090-03,3,2,302,511,200,2112,171,98,111,999,6,3.6,9,1,9,0,55,474.1494166,10,8
31192,26,90,1-26-2023-090-03,3,4,305,504,191,1996,163,89,110,174,8,5.7,2,2,0,0,56,474.1494166,10,8
31194,30,99,1-30-2023-099-04,4,2,303,505,200,2022,170,86,117,999,4,2.3,2,4,9,0,50,2922.457573,10,8
31194,30,99,1-30-2023-099-04,4,1,282,483,191,2015,162,104,99,160,6,3.6,2,4,0,0,57,2922.457573,10,8
31195,30,100,1-30-2023-100-06,6,1,257,424,178,1255,153,85,82,152,4,2.0,1,2,0,1,55,1185.560555,10,8
31195,30,100,1-30-2023-100-06,6,2,257,414,180,1231,158,83,73,148,4,1.6,2,1,0,1,61,1185.560555,10,8
30889,27,70,1-27-2023-070-04,4,2,269,454,184,1668,157,93,92,150,4,1.5,2,3,0,0,58,50.88953239,3,8
30889,27,70,1-27-2023-070-04,4,3,281,463,190,1850,160,91,93,999,4,2.0,2,4,9,0,53,50.88953239,3,8
30912,27,73,1-27-2023-073-06,6,1,302,511,203,2154,174,100,108,184,8,5.3,2,3,0,0,60,50.53366423,3,8
30912,27,73,1-27-2023-073-06,6,2,286,471,185,1823,158,90,95,154,4,2.4,2,4,0,0,56,50.53366423,3,8
